Numero;site;Parasite;Sexe;Longueure;Poids;Poids_foie;phtalate;ROM;OXY
1;Bry;Present;M;13,5;23,5;0,23;398,26;NA;NA
2;Bry;Absent;M;19;62;0,34;591,96;1,81;167,83
3;Bry;Present;M;15,2;35;0,29;173,07;0,92;195,42
4;Bry;Present;F;19,6;70;0,46;801,08;NA;NA
5;Bry;Absent;M;30,4;261;4,5;655,17;1,5;332,17
6;Bry;Absent;F;29;214;0,87;378,53;0,95;325,22
7;Bry;Absent;F;14,7;28,5;0,25;330,51;NA;NA
8;Bry;Present;M;23,9;134,5;0,64;316,24;1,45;301,3
9;Bry;Absent;F;18,6;58,5;0,64;928,19;NA;NA
10;Bry;Present;M;17,3;49,5;0,32;3752,93;NA;NA
11;Bry;Present;M;16,8;43,5;1;3110,32;NA;NA
12;Bry;Present;F;17,7;49,5;0,59;714,71;NA;NA
13;Bry;Present;F;15,7;35,5;0,35;975,97;1,96;338,7
14;Bry;Present;M;15,8;35;0,73;801,73;1,3;272,17
15;Bry;Absent;F;13,5;25,5;0,31;769,25;2,52;243,91
16;Bry;Absent;F;14;30;0,24;1043,97;NA;NA
17;Bry;Present;F;15;31;0,3;784,64;1,68;287,39
18;Bry;Present;M;15,5;34;0,28;810,42;1,33;144,21
19;Bry;Absent;F;13,5;24;0,27;3271,09;1,78;246,09
20;Bry;Absent;F;14,2;26,5;0,24;1018,13;2,07;144,35
21;Torcy;Absent;M;18,5;60;0,64;721,96;NA;250,43
22;Torcy;Absent;M;17;48,5;0,41;732,24;1,04;298,26
23;Torcy;Absent;M;17,4;46;0,65;1535,01;NA;370,43
24;Torcy;Present;F;33,9;442;6,74;349,19;0,51;207,2
25;Torcy;Present;M;27,7;213,5;1,94;44,85;0,29;220,63
26;Torcy;Absent;F;32,5;333,5;4,9;84,08;0,63;161,35
27;Torcy;Absent;M;26,7;186,5;1,58;520,94;0,92;208,7
28;Torcy;Present;F;25,4;164;1,39;162,77;1,58;211,3
29;Torcy;Absent;F;20,6;76,5;0,9;265,08;0,86;140,87
30;Torcy;Present;M;15,7;38;0,34;392,06;1,58;166,52
31;Torcy;Absent;F;22,9;105;1,18;560,28;0,92;243,91
32;Torcy;Present;M;17,4;44;0,39;1149,71;0,11;235,22
34;Vanry;Absent;M;27,6;217,5;1,82;186,71;0,48;247,39
35;Vanry;Present;F;24,7;136,5;1,37;210,07;0,48;122,17
36;Vanry;Absent;M;12,5;17,5;0,1;574,04;2,47;112,17
37;Verneuil;Present;F;28,3;252,5;8,82;1173,23;0,31;210,43
38;Verneuil;Present;F;27,54;181;2,24;474,35;0,34;241,74
39;Verneuil;Present;F;15,6;34;0,43;373,74;1,54;278,7
43;Verneuil;Present;F;15;30;0,34;616,89;2,43;154,35
44;Verneuil;Absent;M;17;43,5;0,58;453,89;2,44;235,22
46;Verneuil;Absent;M;13;19,5;0,21;1161,75;2,09;295,65
47;Verneuil;Absent;F;15,3;28,5;0,35;479,3;NA;278,92
48;Verneuil;Present;M;37;356;11;4909,44;NA;184,33
49;Verneuil;Absent;M;17,5;48;1,6;122,1;3,28;254,42
50;Verneuil;Present;F;28;241;4,5;319,04;NA;208,83
52;Verneuil;Present;M;25;147,5;3,74;248,66;1,42;210,54
53;Verneuil;Absent;M;21,9;100,5;1,89;169,66;0,89;225,07
54;Verneuil;Absent;M;22,5;110;0,73;397,74;2,53;185,33
55;Verneuil;Present;F;17;42,5;0,37;106,1;0,08;211,32
57;Verneuil;Present;M;31;290,5;7,37;209,38;NA;NA
58;Frignicourt;Present;F;13;19,5;0,17;803,96;2,27;272,08
59;Frignicourt;Present;M;14,3;26,5;0,25;313,05;2,23;360,97
60;Frignicourt;Present;F;11,8;14,5;0,18;1332,7;2,28;304,56
61;Frignicourt;Present;F;20;77,5;1,03;765,39;0,37;303,42
63;Frignicourt;Present;F;12,8;16,5;0,14;189,39;0,15;240,31
64;Frignicourt;Present;M;13,2;19;0,17;595,69;2,14;237,32
65;Frignicourt;Present;M;18;56;0,64;431,87;0,28;272,93
66;Frignicourt;Absent;F;10,7;12,5;0,22;580,98;3,04;278,63
67;Frignicourt;Present;F;11,2;13;0,14;492,56;1,84;324,5
68;Frignicourt;Present;F;10,6;13;0,18;654,97;3,34;285,19
69;Frignicourt;Absent;M;11,9;16;0,28;567,8;3,76;304,56
70;Frignicourt;Present;F;10,5;11;0,14;237,89;3,51;275,5
71;Frignicourt;Present;M;24,5;141;1,27;131,53;0,04;309,12
72;Frignicourt;Present;M;10,4;11;0,16;123,65;2,25;130,67
73;Frignicourt;Present;M;12,3;16;0,21;520,32;3,06;143,04
74;Frignicourt;Present;M;8,8;8;0,09;280,56;0,66;339,6
75;Frignicourt;Present;F;9,5;8;0,07;213,55;2;320,51
76;Frignicourt;Present;M;11,2;12;0,09;130,32;2,07;253,56
77;Frignicourt;Present;F;33,5;38,6;2,98;68,58;1,2;311,97
79;Celles_les_conde;Present;F;23,1;120,5;1,95;356,06;0,99;301,42
80;Celles_les_conde;Present;M;28,3;210;1,88;214,28;1,73;231,62
81;Celles_les_conde;Present;M;31;304,5;4,43;206,97;0,72;374,36
82;Celles_les_conde;Absent;F;18,7;54;0,51;244,37;0,19;332,48
83;Celles_les_conde;Present;M;29,7;238,5;3,02;254,07;NA;278,06
84;Celles_les_conde;Absent;F;15,5;31;0,35;90,78;3,22;197,11
85;Celles_les_conde;Present;M;27;189;2,54;545,83;1,55;372,93
86;Celles_les_conde;Present;F;16,2;38;0,4;210,43;1,04;333,9
87;Celles_les_conde;Absent;M;19,6;54,5;0,58;416,82;NA;NA
88;Celles_les_conde;Absent;F;14,6;30;0,34;420,73;NA;NA
89;Celles_les_conde;Present;F;22;84,5;0,87;73,51;0,37;180,11
90;Celles_les_conde;Present;M;32,7;254;2,05;197,58;0,11;164,88
91;Celles_les_conde;Absent;M;22,3;97;0,87;206,28;1,15;203,02
92;Celles_les_conde;Absent;M;21,6;84,5;1,2;126,19;1,62;215,58
93;Celles_les_conde;Absent;F;21,5;84;0,98;253,67;0,72;152,67
94;Celles_les_conde;Present;F;27;184,5;2,24;136,52;0,18;152,42
95;Celles_les_conde;Absent;M;22,7;108,5;1,09;95,97;0,22;192,53
96;Celles_les_conde;Absent;F;16,2;40;0,49;182,78;1,86;158,72
97;Tresmes;Present;F;26,8;199,5;3;383,48;1,46;208,72
98;Tresmes;Absent;M;18,1;53;0,46;85,38;2,22;146,81
100;Vanry;Present;F;17;43;0,51;309,7;2,41;153,38
101;Vanry;Present;M;16,8;43,5;0,41;355,08;1,13;112,2
102;Vanry;Absent;M;18,6;63,5;0,73;245,95;1,42;202,62
104;Vanry;Present;M;17,7;50,5;0,5;348,84;2,96;216,76
105;Vanry;Present;F;14,9;29;0,31;82,57;2,77;201,49
106;Vanry;Present;M;20,4;77,5;0,62;920,23;NA;NA
107;Vanry;Absent;F;15,6;33,5;0,46;377,75;2,42;152,12
108;Vanry;Present;F;16,2;37,5;0,36;228,52;2,48;176,05
109;Vanry;Present;F;16,2;36,5;0,42;126,6;NA;NA
110;Vanry;Absent;M;14,2;23,5;0,33;44,19;NA;NA
111;Vanry;Absent;M;14,8;28,5;0,23;220,29;NA;NA
113;Vanry;Present;F;15,3;30,5;0,39;509,25;1,04;114,6
115;Vanry;Present;F;14,9;28;0,25;77,68;0,9;173,11
116;Vanry;Absent;F;15,3;29,5;0,32;120,54;1,92;133,8
117;Torcy;Present;M;16,8;45;0,48;1722,77;NA;NA
118;Torcy;Present;M;22,4;107;1,33;3079,22;NA;NA
119;Torcy;Absent;F;15,6;38,5;0,34;3008,96;1,44;189,49
120;Torcy;Present;M;16,1;36;0,33;5728,35;NA;NA
121;Mareuil;Absent;M;31,3;366,5;5,52;127,31;NA;NA
122;Mareuil;Absent;M;10,5;11,5;NA;225,41;NA;NA
123;Mareuil;Absent;M;13,5;24;0,38;89,48;NA;NA
124;Mareuil;Present;F;32,9;429,5;6,93;318,02;NA;NA
125;Mareuil;Absent;M;23;184,5;2,13;150,35;NA;NA
126;Mareuil;Absent;M;18;71;1,12;65,87;NA;NA
127;Mareuil;Absent;M;21,6;92;0,48;1685,75;NA;NA
128;Mareuil;Absent;F;14,1;24;0,38;298,74;NA;NA
129;Mareuil;Absent;F;15,8;38,5;0,47;460,7;NA;NA
130;Mareuil;Absent;F;16,3;42,5;0,43;189,19;NA;NA
132;Mareuil;Absent;M;31,6;350,5;2,09;34,98;NA;NA